date,temperature_2m_mean,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,year
2022-07-03,16.189837,0.0,21.2565,10.4065,69.90209,17.727943,51586.633,2022
2022-07-04,16.414833,0.0,21.456501,9.7565,65.31194,19.05281,54555.47,2022
2022-07-05,16.510668,0.0,21.7565,9.9065,65.81955,18.864824,44365.246,2022
2022-07-06,18.529417,0.0,23.9065,11.606501,64.04554,21.218632,32303.293,2022
2022-07-07,19.660666,0.0,24.0565,16.1565,60.512024,18.947083,40209.44,2022
2022-07-08,20.53567,0.0,26.8565,12.606501,63.068573,13.276144,52462.734,2022
2022-07-09,20.404417,0.0,25.6065,14.606501,59.09582,14.917212,53759.926,2022
2022-07-10,20.998167,0.0,27.4065,13.1565,59.405865,15.256526,53700.547,2022
2022-07-11,23.248167,0.0,29.706501,14.9565,49.067387,15.7908325,44270.582,2022
2022-07-12,24.125252,0.0,30.1565,18.0065,52.578884,20.188908,34455.81,2022
2022-07-13,23.07525,0.4,27.0065,18.956501,55.105877,12.475961,42105.16,2022
2022-07-14,19.525251,0.0,24.3065,14.356501,56.82437,20.188908,52934.637,2022
2022-07-15,19.25025,0.0,24.9065,12.5565,52.394215,19.0392,49308.387,2022
2022-07-16,20.519,0.0,27.0565,12.9565,56.32791,13.004921,52131.87,2022
2022-07-17,22.662748,0.0,29.4065,14.856501,49.29007,15.141414,51534.68,2022
2022-07-18,27.231497,0.0,35.0065,19.0065,37.050804,14.57889,52209.863,2022
2022-07-19,29.121086,0.9,37.9065,20.8065,39.076336,22.461807,49277.203,2022
2022-07-20,21.35025,1.7,25.6065,18.206501,72.462975,24.522314,37103.883,2022
2022-07-21,20.446083,0.6,24.0565,17.0065,67.6372,16.595179,29614.047,2022
2022-07-22,18.816916,2.5000002,21.8065,16.3065,68.371574,19.813087,35017.195,2022
2022-07-23,19.427334,0.1,26.1065,13.7565,69.48512,23.993399,42342.324,2022
2022-07-24,20.821081,4.1000004,26.6565,16.7565,67.25539,27.07669,46800.0,2022
2022-07-25,19.904415,0.0,24.0065,17.3065,65.722084,28.146843,43681.902,2022
2022-07-26,17.669,0.2,20.8565,14.4065,64.41375,14.003028,23687.414,2022
2022-07-27,17.4315,0.1,21.0565,12.2565,65.70406,17.298738,28355.7,2022
2022-07-28,18.135668,1.6,21.4065,15.5565,60.193768,18.806337,37987.973,2022
2022-07-29,19.802336,0.0,25.7565,13.0565,58.610077,12.224107,48567.844,2022
2022-07-30,20.712751,0.0,25.6065,15.3065,63.60136,17.673029,41500.984,2022
2022-07-31,21.314833,0.6,25.5565,17.8065,72.90444,29.144438,27546.055,2022
2022-08-01,20.698168,0.0,25.3065,16.956501,66.91178,16.704155,28265.215,2022
2022-08-02,21.064835,0.2,25.3565,17.5565,75.873985,25.582806,26291.65,2022
2022-08-03,21.808584,0.0,27.0065,17.1065,75.13099,24.693481,34231.547,2022
2022-08-04,20.123167,0.0,24.2565,16.7565,57.264053,17.698677,40339.63,2022
2022-08-05,17.896082,0.0,21.7565,13.7565,46.152893,18.35647,40565.56,2022
2022-08-06,17.435667,0.0,23.1065,10.5065,53.386703,13.237039,49947.195,2022
2022-08-07,19.579418,0.0,26.1065,12.6565,57.62306,11.013882,49862.316,2022
2022-08-08,20.856499,0.0,27.9065,13.5565,59.43529,19.164719,49777.254,2022
2022-08-09,20.691917,0.0,27.4065,14.2065,64.304344,19.164719,49674.773,2022
